player_name,micro_position_group
Harrison Armstrong,CM
Rio Ngumoha,W
Juanlu Sánchez,FB
Giacomo Raspadori,ST
Ademola Lookman,W
Morgan Gibbs-White,CAM
Malthe Højholt,CDM
Sofiane Boufal,CAM
Atakan Karazor,CDM
Kenny Tete,FB
Raúl Jiménez,ST
Will Hughes,CM
Nadiem Amiri,CM
Jonathan Fischer,GK
Vitaliy Mykolenko,FB
Nicolas Seiwald,CDM
Yukinari Sugawara,FB
Giorgi Abuashvili,W
Mattia Perin,GK
Joël Veltman,FB
Takefusa Kubo,W
Antonio Sanabria,ST
Grischa Prömel,CM
Mikkel Damsgaard,CAM
Sepp van den Berg,CB
Kristian Thorstvedt,CM
Paulo Dybala,ST
Mario Pašalić,CM
Enzo Boyomo,CB
Andrew Robertson,FB
Robert Sánchez,GK
Reda Belahyane,CDM
Santiago Pierotti,W
Kamory Doumbia,CAM
Ayumu Seko,CB
Alexis Sánchez,ST
Dávid Hancko,CB
Tom Krauß,CDM
Benjamin André,CDM
Alessandro Deiola,CM
Mikael Egill Ellertsson,CM
Michael Olise,W
Xavi Simons,CAM
Maxime Estève,CB
Jessy Deminguet,CM
Fredrik Oppegård,FB
Bryan Okoh,CB
Luca Jaquez,CB
Giuliano Simeone,W
Maxim De Cuyper,FB
Lewis Ferguson,CM
Kojo Peprah Oppong,CB
El Hadji Malick Diouf,FB
Sadibou Sané,CB
Granit Xhaka,CDM
Andriy Lunin,GK
Giorgi Gocholeishvili,FB
Ilias Akhomach,W
Josh Doig,FB
Elliot Anderson,CM
Yáser Asprilla,W
Dilane Bakwa,W
Michel Aebischer,CM
Stefan de Vrij,CB
Tiago Gabriel,CB
Jonathan Rowe,W
Morato,CB
Abdoulaye Ndiaye,CB
Álex Jiménez,FB
Youssef Enríquez,FB
Ola Aina,FB
Adam Dzwigala,CB
Timo Hübers,CB
Alexander Sørloth,ST
Breel Embolo,ST
Laurent Abergel,CDM
Thomas Lemar,CAM
Duje Caleta-Car,CB
Jake O'Brien,FB
Mark McKenzie,CB
Luka Ilic,CAM
Lewis Hall,FB
Allan Nyom,FB
Florent Hanin,FB
Ansgar Knauff,W
Exequiel Palacios,CM
Samuel Chukwueze,W
Koke,CM
José Ángel Carmona,FB
Lorenz Assignon,FB
Álex Valle,FB
Branco van den Boomen,CM
Guéla Doué,FB
Dodô,FB
Éder Militão,CB
Emiliano Martínez,GK
Herba Guirassy,W
Louis Leroux,CAM
Juma Bah,CB
Jadon Sancho,W
Wladimiro Falcone,GK
Ruben Aguilar,FB
Cole Palmer,CAM
Carlos Romero,FB
Hugo Ekitiké,ST
Simone Scuffet,GK
Aiyegun Tosin,ST
Adam Marusic,FB
Javi Guerra,CM
Daouda Guindo,FB
Danny Welbeck,ST
João Neves,CM
Eljif Elmas,CAM
Mads Hermansen,GK
Nikolas Nartey,CM
Pau Torres,CB
Gaspar,CB
Timothée Kolodziejczak,CB
Georginio Rutter,ST
Tanguy Nianzou,CB
Daniel Maldini,CAM
Przemyslaw Frankowski,FB
Danny da Costa,CB
Alex Meret,GK
Aladji Bamba,CDM
Arthur,FB
Pathé Mboup,W
Oumar Ngom,CDM
Ibrahim Sulemana,CDM
Samir El Mourabet,CM
Marcus Tavernier,CAM
Roberto Piccoli,ST
Igor Jesus,ST
Zion Suzuki,GK
Jørgen Strand Larsen,ST
Hans Nicolussi Caviglia,CDM
Denis Vavro,CB
Arturo Calabresi,CB
Bruno Fernandes,CAM
Răzvan Sava,GK
Yéremy Pino,W
Javi López,FB
Sebastiano Esposito,ST
Ángel Pérez,W
Marcos Alonso,CB
Abdelhamid Ait Boudlal,CB
Rémy Cabella,CAM
Thiago Fernández,W
Carlos Baleba,CDM
Adama Camara,CDM
Thijs Dallinga,ST
Naouirou Ahamada,CM
Reinildo Mandava,FB
Federico Bonazzoli,ST
Radu Drăgușin,CB
Jack Grealish,W
Bernardo Silva,CAM
Bryan Gil,W
Nemanja Gudelj,CDM
Nicolò Fagioli,CM
Mohamed-Ali Cho,W
Konstantinos Koulierakis,CB
Endrick,ST
Tani Oluwaseyi,ST
Fábio Vieira,CAM
João Mário,FB
Kwasi Sibo,CM
Lorenzo Montipò,GK
Patrik Schick,ST
Pape Sy,GK
Pablo Martínez,CM
Armindo Sieb,ST
Adam Obert,FB
Juan Musso,GK
Kader Meïté,ST
Matías Moreno,CB
Gessime Yassine,W
Marius Bülter,W
Said El Mala,W
Eliezer Mayenda,ST
Ferran Torres,ST
Bukayo Saka,W
Manolis Saliakas,FB
Marvin Senaya,FB
Mike Penders,GK
Ruben Loftus-Cheek,CM
Pedro Bigas,CB
Haris Tabakovic,ST
Chancel Mbemba,CB
Hugo Rincón,FB
Alejandro Rego,CM
Mateo Joseph,ST
Harvey Barnes,W
Ebenezer Akinsanmiro,CM
Dermane Karim,CAM
Jacques Ekomié,FB
Tanner Tessmann,CDM
Yassine Kechta,CM
Achraf Hakimi,FB
Gideon Mensah,FB
Alessandro Zanoli,FB
Gonzalo Villar,CM
Maxence Lacroix,CB
Samir Chergui,CB
Carlos Álvarez,CAM
Petar Sučić,CM
Maximilian Arnold,CM
Alpha Touré,CDM
Mariano Troilo,CB
Rayan Fofana,ST
Sandro Tonali,CDM
Unai Gómez,CAM
Junior Dina Ebimbe,CM
Cheikh Sabaly,W
Issa Soumaré,W
Nicolás Valentini,CB
Arda Güler,CAM
Alan Matturro,CB
Han-Noah Massengo,CM
Maxence Caqueret,CM
Antoine Bernede,CM
Marnon Busch,FB
Mahamadou Nagida,FB
Sam Beukema,CB
Alexander Prass,CM
Amad Diallo,W
Josh Cullen,CM
Alex Iwobi,W
Lucien Agoumé,CDM
Pape Matar Sarr,CM
Charles Pickel,CDM
Isak Jansson,W
Nuno Tavares,FB
Chrislain Matsima,CB
Caleb Ekuban,ST
Antonio Rüdiger,CB
Alexis Mac Allister,CM
Saša Lukić,CM
Julián Malatini,CB
Ibrahim Mbaye,W
Abdoulaye Faye,CB
Máximo Perrone,CDM
Yuito Suzuki,ST
Matías Soulé,W
Zito Luvumbo,W
Alessio Zerbin,CM
Santiago Colombatto,CDM
Batista Mendy,CDM
Elisha Owusu,CDM
Manor Solomon,W
Cody Gakpo,W
Curtis Jones,CM
Corrie Ndaba,FB
Rodrigo Gomes,CM
Hugo Bolin,W
Dominik Kohr,CB
Wesley,FB
Youssef El Arabi,ST
Michael Keane,CB
Alisson Santos,W
Nabil Bentaleb,CDM
Takuma Asano,W
Ayoze Pérez,ST
Sofiane Diop,W
Lassine Sinayoko,ST
Pascal Groß,CM
Hennes Behrens,FB
Kévin Danois,CM
Boubacar Kamara,CDM
Emirhan İlkhan,CM
Chemsdine Talbi,W
Leonardo Spinazzola,FB
Khalis Merah,CM
Dayann Methalie,FB
Malick Fofana,W
Nikola Krstović,ST
Lilian Raolisoa,FB
Bruno Ogbus,CB
Rafik Belghali,FB
Ezechiel Banzuzi,CM
Lucas Bergvall,CM
Alessandro Circati,CB
Diego Llorente,CB
Ardian Ismajli,CB
Yasin Ayari,CM
Leon Avdullahu,CDM
Rafa Marín,CB
Jacob Ondrejka,W
Stefan Schimmer,ST
Filip Ugrinic,CM
Davide Frattesi,CM
James Sands,CDM
Nico O'Reilly,FB
Jonathan David,ST
Patrick Wimmer,W
Jack Hinshelwood,CDM
Jacob Murphy,W
Danilo Cataldi,CDM
Sergio Herrera,GK
Zakaria Aboukhlal,W
Angel Gomes,CAM
Brenden Aaronson,CAM
Vini Souza,CDM
Jesús Rodríguez,W
Yannick Gerhardt,CM
Felix Agu,FB
Lucas Höler,ST
Lewis Cook,CM
Nikola Vasilj,GK
Facundo Garcés,CB
Nahuel Tenaglia,FB
Amine Adli,W
Bryan Cristante,CDM
Charles Vanhoutte,CDM
Tommaso Barbieri,FB
Ryan Sessegnon,FB
Marc Guéhi,CB
Enrico Delprato,FB
Equi Fernández,CDM
Jon Aramburu,FB
Willian Pacho,CB
Nadir Zortea,FB
Diego Rico,FB
Arnau Martínez,FB
Ange-Yoan Bonny,ST
Federico Dimarco,FB
Ivan Provedel,GK
Youri Tielemans,CM
Gautier Lloris,CB
Alexis Vossah,CM
Michael Gregoritsch,ST
Jones El-Abdellaoui,W
Benja Domínguez,W
Rodrigo Mendoza,CM
Hjalmar Ekdal,CB
Emile Smith Rowe,CAM
Danny Namaso,W
Callum Hudson-Odoi,W
Gabriele Zappa,FB
Ethan Ampadu,CDM
Guillermo Maripán,CB
José Sá,GK
Mason Greenwood,W
Johan Vásquez,CB
Oussama El Azzouzi,CDM
Marc Aguado,CDM
Péter Gulácsi,GK
Youssouf Fofana,CDM
José María Giménez,CB
Joshua Zirkzee,ST
Nicolò Zaniolo,ST
Pau Cubarsí,CB
Buba Sangaré,FB
Oscar Bobb,W
David Møller Wolfe,FB
Rassoul Ndiaye,CM
Julio Enciso,CAM
Emre Can,CB
Adam Armstrong,ST
Alessio Romagnoli,CB
Jamie Vardy,ST
André Silva,ST
Ricardo Rodríguez,FB
Brendan Chardonnet,CB
Ignatius Ganago,ST
Hamed Traoré,W
Antonino Gallo,FB
Tommaso Pobega,CM
Igor Silva,FB
Marco Grüll,W
Gabriel,CB
Alimami Gory,W
Melvin Bard,FB
Oihan Sancet,CAM
Ivan Smolcic,FB
Giorgio Scalvini,CB
Lucas Beraldo,CB
Andrei Rațiu,FB
Edoardo Corvi,GK
Lazar Samardžić,CAM
Philipp Köhn,GK
Savinho,W
Emersonn,ST
Juan Iglesias,FB
Jan Oblak,GK
Alphonse Areola,GK
Juan Jesus,CB
Derrick Köhn,FB
Zeki Çelik,FB
Pablo Maffeo,FB
Finn Dahmen,GK
Niklas Dorsch,CDM
Alberto Grassi,CDM
Daniel Elfadli,CB
Julian Niehues,CDM
Fisayo Dele-Bashiru,CM
Charles De Ketelaere,CAM
Kilian Fischer,FB
Ramon Hendriks,CB
Jarrad Branthwaite,CB
Matthis Abline,ST
Piero Hincapié,CB
Orri Óskarsson,ST
Wilson Odobert,W
William Mikelbrencis,FB
Robin Risser,GK
Noah Atubolu,GK
Aarón Martín,FB
Tyrone Mings,CB
Federico Bernardeschi,W
Roberto Gagliardini,CM
Stefan Bell,CB
Olivier Giroud,ST
Mateu Morey,FB
Nicolò Casale,CB
Diego Coppola,CB
Soumaïla Coulibaly,CB
Warren Bondo,CM
Félix Lemaréchal,CAM
Bilal Nadir,CM
Federico Ravaglia,GK
Pathé Ciss,CM
Yeray Álvarez,CB
Armando Broja,ST
Unai Elgezabal,CB
Nicolò Rovella,CDM
Kervin Arriaga,CDM
Goduine Koyalipou,ST
Yoane Wissa,ST
Elye Wahi,ST
Loïc Nego,FB
Mateus Mané,CAM
Kieran Trippier,FB
Nico Schlotterbeck,CB
Omar Traoré,FB
Philipp Sander,CDM
Grégoire Coudert,GK
Maximilian Kilman,CB
Iñigo Lekue,FB
Iñaki Williams,W
Alexander Nübel,GK
Luca Waldschmidt,ST
Robert Glatzel,ST
Michael Zetterer,GK
Axel Disasi,CB
Santiago Bueno,CB
Marcão,CB
Danilho Doekhi,CB
Lovro Majer,CAM
Callum Wilson,ST
Daley Blind,CB
Juan Rodríguez,CB
Miguel Gutiérrez,FB
Luca Netz,FB
Fisnik Asllani,ST
Fabio Miretti,CM
Arthur Chaves,CB
Semih Kılıçsoy,ST
Matteo Prati,CDM
Jonathan Tah,CB
Joe Gomez,CB
Fabien Centonze,FB
Gabriel Suazo,FB
Riccardo Sottil,W
Tylel Tati,CB
Rudy Matondo,CM
Tom Cairney,CM
Rani Khedira,CDM
Odysseas Vlachodimos,GK
Lassana Coulibaly,CM
Bamba Dieng,ST
Tom Bischof,CM
Dango Ouattara,W
Michael Kayode,FB
Emil Audero,GK
Nicolò Barella,CM
Alberto Moleiro,W
Alberto Dossena,CB
Matthias Ginter,CB
Samú Costa,CDM
Abel Bretones,FB
Abu Francis,CM
Simon Adingra,W
Alessandro Buongiorno,CB
Gianluca Mancini,CB
Paulo Gazzaniga,GK
Marius Wolf,FB
Habib Diarra,CM
Vedat Muriqi,ST
Warmed Omari,CB
Lesley Ugochukwu,CDM
Luiz Júnior,GK
Valentin Rosier,FB
Wojciech Szczesny,GK
Alexis Claude-Maurice,CAM
Ilya Zabarnyi,CB
Cristiano Biraghi,FB
Nhoa Sangui,FB
Robert Lewandowski,ST
Álvaro García,W
Domingos Duarte,CB
João Palhinha,CDM
Dani Vivian,CB
Hugo Duro,ST
Strahinja Pavlović,CB
Walid Cheddira,ST
Cédric Zesiger,CB
Santi Comesaña,CM
Junior Kroupi,ST
Rômulo,ST
Carney Chukwuemeka,CM
Diego Moreira,CM
Samson Baidoo,CB
Alexis Saelemaekers,CM
Vanja Milinković-Savić,GK
Amir Rrahmani,CB
Gregor Kobel,GK
Calvin Verdonk,FB
Nico Williams,W
Rosen Bozhinov,CB
Mateus Fernandes,CM
Omar El Hilali,FB
Malick Thiaw,CB
Maghnes Akliouche,W
Luca Koleosho,W
Richarlison,ST
Yann Bisseck,CB
Gabriel Martinelli,W
Marco Bizot,GK
Ilia Gruev,CDM
Marius Marin,CDM
Albert Sambi Lokonga,CM
Connor Metcalfe,CM
Taty Castellanos,ST
John McGinn,CM
Bradley Barcola,W
Lorenzo Bernasconi,CM
Anastasios Douvikas,ST
Rúben Dias,CB
Ylber Ramadani,CDM
Andrey Santos,CM
Antoine Griezmann,ST
Adam Wharton,CDM
Arijon Ibrahimovic,CAM
Mamadou Coulibaly,CM
Soungoutou Magassa,CDM
Dean Henderson,GK
Marcus Rashford,W
Jari Vandeputte,CM
Tosin Adarabioyo,CB
Dominic Solanke,ST
Alejandro Grimaldo,FB
Álex Moreno,FB
Bruno Guimarães,CM
Patrick Osterhage,CDM
Pierre Lees-Melou,CDM
Mark Flekken,GK
Yanis Zouaoui,FB
Nathaniel Brown,FB
Noah Cadiou,CM
Clemens Riedel,CB
Moatasem Al-Musrati,CDM
Martijn Kaars,ST
Aitor Ruibal,W
Yangel Herrera,CM
José Copete,CB
Waldemar Anton,CB
Nico Elvedi,CB
Jan Paul van Hecke,CB
César Azpilicueta,CB
Carl Starfelt,CB
Derry Scherhant,W
Joachim Andersen,CB
Álvaro Fidalgo,CM
Michael Folorunsho,CM
Jakub Piotrowski,CM
Aljoscha Kemlein,CDM
Afonso Moreira,W
Santiago Mouriño,FB
Kyle Walker,FB
Martin Terrier,W
Aleix García,CM
Livan Burcu,W
Fali Candé,CB
Stanislav Lobotka,CDM
Jackson Irvine,CM
Ulisses Garcia,FB
Timothy Castagne,FB
Damion Downs,ST
Pietro Comuzzo,CB
André Almeida,CAM
Ibrahim Sangaré,CDM
Vincent Marchetti,CM
Junior Firpo,FB
Jonathan Gradit,CB
Hakan Çalhanoğlu,CDM
Lucas Digne,FB
Mathías Olivera,FB
Kobbie Mainoo,CM
Unai Simón,GK
Suat Serdar,CM
David Raya,GK
Julián Alvarez,ST
Thiago Almada,W
Adam Daghim,W
Rafik Messali,FB
Riyad Idrissi,FB
Matheus Cunha,ST
Milos Kerkez,FB
Rayan Philippe,W
Adrien Truffert,FB
Bilal El Khannouss,CAM
Samuel Mbangula,W
Saël Kumbedi,FB
Tyrick Mitchell,FB
Kristijan Jakic,CDM
Kamaldeen Sulemana,W
Ibrahima Sissoko,CDM
Nemanja Matić,CDM
Idrissa Gueye,CDM
Pedro,W
Igor Paixão,W
Anton Kade,CAM
Loïc Badé,CB
Jamie Leweling,W
Largie Ramazani,W
Jordan Lefort,CB
Rayan Aït-Nouri,FB
Maximilian Beier,ST
Federico Viñas,ST
Leonardo Balerdi,CB
Jefferson Lerma,CDM
Hákon Arnar Haraldsson,CAM
Mario Martín,CDM
Álvaro Rodríguez,ST
Jacobo Ramón,CB
Chema Andrés,CDM
Nico Paz,CAM
Pape Demba Diop,CM
Vinicius Junior,W
Carlos Soler,CM
Kevin Danso,CB
Johan Mojica,FB
Unai López,CM
Nick Pope,GK
Jonas Föhrenbach,FB
Óscar Valentín,CM
Timothy Weah,CM
Francisco Sierralta,CB
Cédric Bakambu,ST
Carlens Arcus,FB
Jaka Bijol,CB
Stanley Nsoki,CB
Angelo Stiller,CDM
Aihen Muñoz,FB
Viktor Tsygankov,W
Robin Fellhauer,CDM
Brice Samba,GK
Daniel Svensson,FB
Albian Hajdari,CB
Aleksandr Golovin,CAM
Bremer,CB
Bryan Zaragoza,W
Manuel Locatelli,CDM
Oliver Sørensen,CM
Trai Hume,FB
Chris Richards,CB
Héctor Bellerín,FB
Mahmoud Dahoud,CM
Patrick Cutrone,ST
Arijanet Murić,GK
Rasmus Nissen Kristensen,FB
Andreas Hanche-Olsen,CB
Omar Marmoush,ST
Lucas Paquetá,CAM
Patric,CB
Javi Rueda,FB
Konan N’Dri,W
Nicolás Capaldo,CB
Evan Ndicka,CB
Loïs Openda,ST
Julian Ryerson,FB
Florian Lejeune,CB
Iñigo Ruiz de Galarreta,CM
Davinchi,FB
Benjamin Stambouli,CDM
Federico Valverde,CM
Ferdi Kadıoğlu,FB
Antonio Sánchez,CM
Corentin Tolisso,CM
Bouna Sarr,FB
Armand Laurienté,W
Jamal Musiala,CAM
Ruben Kluivert,CB
Quilindschy Hartman,FB
Adam Buksa,ST
Alessandro Marcandalli,CB
Otávio,CB
Arthur Theate,CB
Thierry Correia,FB
Cher Ndour,CM
Daniel Mosquera,ST
Martin Vitík,CB
Adam Karabec,CAM
Joakim Maehle,FB
Riccardo Orsolini,W
Nidal Celik,CB
Dzenan Pejcinovic,ST
Sandi Lovrić,CM
Sebastian Nanasi,W
Maximilian Eggestein,CM
Vitaly Janelt,CDM
Mathias Rasmussen,CM
Gerard Gumbau,CDM
Bernardo,FB
Douglas Luiz,CM
Ali Youssif,CB
Stephan El Shaarawy,W
Kassoum Ouattara,FB
Chris Rigg,CAM
Emanuele Valeri,FB
Sergio Gómez,FB
Simon Sohm,CM
Felix Mambimbi,W
Issa Diop,CB
Serhou Guirassy,ST
Jon Pacheco,CB
Jan Schöppner,CM
CJ Egan-Riley,CB
Ísak Jóhannesson,CM
Federico Gatti,CB
Dan Ndoye,W
David López,CB
Matz Sels,GK
Maxime Dupé,GK
Geoffrey Kondogbia,CDM
Cristian Volpato,CAM
Mohamed Amoura,ST
Justin Devenny,CAM
Jayden Addai,W
Leo Østigård,CB
Edu Expósito,CM
Sheraldo Becker,W
Kingsley Ehizibue,FB
Chris Führich,W
Fabian Rieder,CAM
Isi Palazón,ST
Josha Vagnoman,FB
Boubacar Traoré,CDM
Moustapha Mbow,CB
Tyrhys Dolan,W
Javi Galán,FB
Carlos Alcaraz,CM
Moise Kean,ST
Jordan Teze,FB
Kevin De Bruyne,CAM
Davide Bartesaghi,FB
Jude Bellingham,CAM
Medon Berisha,CM
Martin Baturina,CAM
James Garner,CDM
Diego Pampín,FB
Can Uzun,CAM
Pablo,ST
Álvaro Morata,ST
Phillipp Mwene,FB
Marko Dmitrovic,GK
Berke Özer,GK
Gabriel Gudmundsson,FB
Ozan Kabak,CB
Pedro Díaz,CM
Robin Gosens,FB
Romano Floriani Mussolini,FB
Anthony Elanga,W
Antoine Semenyo,W
Marcus Pedersen,FB
Adrian Beck,CAM
Christian Kabasele,CB
Panos Katseris,CM
Tiago Santos,FB
Brooke Norton-Cuffy,FB
Georges Mikautadze,ST
Mathew Ryan,GK
Alexsandro,CB
Evan Ferguson,ST
Enzo Fernández,CM
Aaron Zehnter,FB
Nayef Aguerd,CB
Sven Botman,CB
Rafa Mir,ST
Fábio Silva,ST
Sergio Camello,ST
Clinton Mata,CB
Budu Zivzivadze,ST
Ryan Christie,CM
Giovanni Reyna,CAM
Jurgen Ekkelenkamp,CM
Joseph Aidoo,CB
Ritsu Doan,W
Jean-Philippe Krasso,ST
Jahmai Simpson-Pusey,CB
Teun Koopmeiners,CDM
Danilo Veiga,FB
Moses Simon,W
Jordy Makengo,FB
Valentino Lazaro,CM
Julian Brandt,CAM
Augusto Batalla,GK
Hans Hateboer,FB
Janis Blaswich,GK
Álvaro Carreras,FB
Alejandro Garnacho,W
Niccolò Pisilli,CM
Raoul Bellanova,CM
Simone Canestrelli,CB
Chidozie Awaziem,CB
Gavi,CM
Rafa Obrador,FB
Cristhian Mosquera,CB
Nathaniel Adjei,CB
Robin Roefs,GK
Kieron Bowie,ST
Yehvann Diouf,GK
Diant Ramaj,GK
Fernando Calero,CB
Gianluca Gaetano,CDM
Lamare Bogarde,CDM
Eren Dinkçi,W
Jeremy Toljan,FB
Cyril Ngonge,W
Amin Sarr,ST
Mario Götze,CAM
Pablo Fornals,CM
Luca Marianucci,CB
Kaoru Mitoma,W
César Tárrega,CB
Mandela Keita,CDM
Nicolò Savona,FB
Yunus Musah,CM
Junior Messias,W
Cameron Puertas,CM
Isaac Schmidt,FB
Jordan Pickford,GK
Jan Virgili,W
Sead Kolasinac,CB
Alejandro Catena,CB
Declan Rice,CM
Domagoj Bradarić,FB
David Costas,CB
David Brooks,W
Martin Valjent,CB
Vincenzo Grifo,W
Gerard Martín,CB
Rubén Sánchez,FB
Ugo Raghouber,CDM
Josan,W
Jean-Ricner Bellegarde,CM
Abner,FB
Cheikh Niasse,CDM
Dušan Vlahović,ST
Diogo Leite,CB
Rodri,CDM
Alfon González,W
Antonio Raíllo,CB
Florian Neuhaus,CM
Obed Vargas,CM
Dean Huijsen,CB
Sebastian Otoa,CB
Myles Lewis-Skelly,FB
Antoine Mendy,CB
Luka Vuskovic,CB
Joe Scally,FB
Morten Frendrup,CDM
Diogo Dalot,FB
Florentino,CDM
Rafael Leão,W
Keane Lewis-Potter,CM
Oliver Provstgaard,CB
Odilon Kossounou,CB
Eduardo Camavinga,CM
Rav van den Berg,CB
Ibrahima Konaté,CB
Aster Vranckx,CM
Senne Lammens,GK
Borja Iglesias,ST
Andrej Ilic,ST
Sebastiano Luperto,CB
Luis Rioja,W
Harry Wilson,W
David Affengruber,CB
