player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Charlie Cresswell,Toulouse FC,FL1,2025,,3,1,29,22.95687885010267,10495609.0
Emersonn,Toulouse FC,FL1,2025,,6,2,28,21.04312114989733,10458181.0
Arnaut Danjuma,Valencia CF,PD,2025,,3,2,37,28.49828884325804,10441817.0
Federico Bonazzoli,US Cremonese,SA,2025,,10,2,37,28.197125256673512,10318237.0
Ilan Kebbal,Paris FC,FL1,2025,,9,4,30,27.06091718001369,10315345.0
Karl Etta Eyong,Levante UD,PD,2025,,7,5,36,21.79876796714579,10252772.0
Roman Yaremchuk,Olympique Lyonnais,FL1,2025,,4,1,12,29.678302532511978,10158171.0
Tom Louchet,OGC Nice,FL1,2025,,3,2,31,22.245037645448324,9843534.0
Ilyas Ansah,1. FC Union Berlin,BL1,2025,,5,1,34,20.72826830937714,9771608.0
Moses Simon,Paris FC,FL1,2025,,3,3,31,30.05612594113621,9740328.0
Jeff Ekhator,Genoa CFC,SA,2025,,3,0,37,18.72142368240931,9659626.0
Umar Sadiq,Valencia CF,PD,2025,,4,2,31,28.49281314168378,9481034.0
Armand Lauriente,US Sassuolo Calcio,SA,2025,,7,10,38,26.65845311430527,9456527.0
Germán Valera,Elche CF,PD,2025,,4,5,36,23.378507871321013,9298523.0
Jérémie Boga,Juventus FC,SA,2025,,4,1,16,28.57494866529774,9295934.0
Jens Stage,SV Werder Bremen,BL1,2025,,10,2,29,28.72826830937714,9286666.0
Kamory Doumbia,Stade Brestois 29,FL1,2025,,5,4,23,22.45037645448323,9174080.0
Jorge de Frutos,Rayo Vallecano de Madrid,PD,2025,,10,1,36,28.4435318275154,8841637.0
Marcus Thuram-Ulien,FC Internazionale Milano,SA,2025,,13,6,31,27.98631074606434,8745690.0
Oliver Burke,1. FC Union Berlin,BL1,2025,,6,2,33,28.317590691307323,8470723.0
Danilho Doekhi,1. FC Union Berlin,BL1,2025,,5,0,34,27.08829568788501,8455718.0
Víctor Muñoz,CA Osasuna,PD,2025,,6,2,34,22.053388090349078,8385260.0
Nadiem Amiri,1. FSV Mainz 05,BL1,2025,,12,2,26,28.761122518822724,8375414.0
Casemiro,Manchester United FC,PL,2025,,9,2,34,33.437371663244356,8358561.5
Wesley Saïd,Racing Club de Lens,FL1,2025,,12,2,30,30.286105407255306,8303708.0
Giovanni Simeone,Torino FC,SA,2025,,11,0,34,30.075290896646134,8222125.5
Carlos Álvarez,Levante UD,PD,2025,,3,2,31,21.987679671457904,8213982.5
Ferrán Torres,FC Barcelona,PD,2025,,16,3,35,25.420944558521562,8183730.5
Grischa Prömel,TSG 1899 Hoffenheim,BL1,2025,,7,2,33,30.559890485968516,8140141.5
Robert Lewandowski,FC Barcelona,PD,2025,,14,2,35,36.94455852156057,8134988.5
Romain Del Castillo,Stade Brestois 29,FL1,2025,,9,3,31,29.34154688569473,8104154.0
Rayan Philippe,Hamburger SV,BL1,2025,,5,0,32,24.772073921971252,8086204.5
Kevin Diks,Borussia Mönchengladbach,BL1,2025,,5,0,30,28.8186173853525,8024188.0
Ragnar Ache,1. FC Köln,BL1,2025,,7,3,29,27.01163586584531,8016753.0
Gift Orban,Hellas Verona FC,SA,2025,,7,2,29,23.041752224503764,7991875.5
Pablo Pagis,FC Lorient,FL1,2025,,10,5,29,22.590006844626966,7971932.0
Carlos Romero,RCD Espanyol de Barcelona,PD,2025,,6,2,35,23.756331279945243,7943003.0
Albert Sambi Lokonga,Hamburger SV,BL1,2025,,5,0,27,25.776865160848732,7925161.5
Matthis Abline,FC Nantes,FL1,2025,,6,3,33,22.34633812457221,7843467.5
Abdessamad Ezzalzouli,Real Betis Balompié,PD,2025,,10,8,29,23.62217659137577,7804860.5
Ilyas Chaira,Real Oviedo,PD,2025,,6,2,36,24.49281314168378,7796179.0
Esteban Lepaul,Stade Rennais FC 1901,FL1,2025,,21,5,34,25.286789869952088,7743960.0
Domenico Berardi,US Sassuolo Calcio,SA,2025,,8,4,26,31.000684462696782,7743783.0
Frank Magri,Toulouse FC,FL1,2025,,5,1,17,25.908281998631075,7689113.5
Julián Álvarez,Club Atlético de Madrid,PD,2025,,8,4,32,25.50034223134839,7653236.5
Danel Sinani,FC St. Pauli 1910,BL1,2025,,5,3,32,28.32306639288159,7630178.5
Cesare Casadei,Torino FC,SA,2025,,6,0,37,22.55715263518138,7561268.0
Lucas Boyé,Deportivo Alavés,PD,2025,,11,1,30,29.423682409308693,7503384.5
Takumi Minamino,AS Monaco FC,FL1,2025,,3,2,16,30.54072553045859,7492616.0
Danilo Cataldi,SS Lazio,SA,2025,,3,3,30,30.986995208761122,7431571.5
Jean-Victor Makengo,FC Lorient,FL1,2025,,4,1,34,27.137577002053387,7315707.0
Antoine Griezmann,Club Atlético de Madrid,PD,2025,,7,4,36,34.365503080082135,7189804.0
Leonardo Spinazzola,SSC Napoli,SA,2025,,3,4,34,32.35318275154004,7035419.5
Florian Thauvin,Racing Club de Lens,FL1,2025,,11,6,33,32.511978097193705,6977654.5
Justin Njinmah,SV Werder Bremen,BL1,2025,,5,0,34,24.709103353867214,6977315.0
Rayan,AFC Bournemouth,PL,2025,,5,2,15,18.99520876112252,6954137.5
Willem Geubbels,Paris FC,FL1,2025,,5,0,30,23.958932238193018,6907763.0
Ludovic Ajorque,Stade Brestois 29,FL1,2025,,8,9,31,31.430527036276523,6889723.0
Raúl Jiménez,Fulham FC,PL,2025,,9,3,37,34.24229979466119,6830756.5
Gennaro Borrelli,Cagliari Calcio,SA,2025,,5,1,29,25.39356605065024,6816882.0
Alimami Gory,Paris FC,FL1,2025,,5,1,27,28.919917864476385,6738099.0
Mattia Zaccagni,SS Lazio,SA,2025,,3,0,27,30.127310061601644,6682698.5
Gauthier Hein,FC Metz,FL1,2025,,8,7,29,28.982888432580424,6668673.0
Viktor Tsyhankov,Girona FC,PD,2025,,6,5,32,27.709787816564,6668120.0
Jayden Addai,Como 1907,SA,2025,,3,0,18,19.9315537303217,6656702.0
Sehrou Guirassy,Borussia Dortmund,BL1,2025,,17,0,34,29.388090349075977,6645190.0
Mauro Arambarri,Getafe CF,PD,2025,,6,2,37,29.83709787816564,6611712.0
Borja Iglesias,RC Celta de Vigo,PD,2025,,15,1,37,32.53661875427789,6603243.0
Aiyegun Tosin,FC Lorient,FL1,2025,,5,0,30,27.09924709103354,6553718.5
M'Bala Nzola,US Sassuolo Calcio,SA,2025,,4,1,31,28.95277207392197,6551568.5
Gian-Luca Waldschmidt,1. FC Köln,BL1,2025,,5,5,32,29.201916495550993,6545629.5
Virgil van Dijk,Liverpool FC,PL,2025,,6,0,38,34.06707734428473,6514361.5
Michael Gregoritsch,FC Augsburg,BL1,2025,,6,2,18,31.288158795345655,6430379.0
Matias Soule,AS Roma,SA,2025,,6,5,33,22.297056810403834,6426081.5
Iván Romero,Levante UD,PD,2025,,7,2,35,24.309377138945926,6423349.0
Guido Rodríguez,Valencia CF,PD,2025,,4,0,16,31.304585900068446,6413157.5
Adrien Thomasson,Racing Club de Lens,FL1,2025,,3,10,32,31.641341546885695,6364870.5
Samuel Almeida Costa,RCD Mallorca,PD,2025,,7,2,34,24.67624914442163,6322190.0
Carlos Espí,Levante UD,PD,2025,,11,0,34,20.021902806297057,6296569.5
Alvaro Rodriguez,Elche CF,PD,2025,,7,5,37,21.048596851471594,6260768.5
Ayoze Pérez,Villarreal CF,PD,2025,,5,4,26,32.0082135523614,6254430.5
Musa Al Taamari,Stade Rennais FC 1901,FL1,2025,,6,6,33,28.142368240930868,6238049.5
Robin Gosens,ACF Fiorentina,SA,2025,,3,1,30,31.07460643394935,6207534.0
Phillip Tietz,1. FSV Mainz 05,BL1,2025,,6,3,33,28.06297056810404,6101779.5
Rayan Fofana,Racing Club de Lens,FL1,2025,,5,0,33,19.46611909650924,6039123.0
Jonathan Ikoné,Paris FC,FL1,2025,,3,1,25,27.249828884325805,5999262.0
Borja Mayoral,Getafe CF,PD,2025,,4,1,21,28.32306639288159,5992646.0
Pierre-Emerick Aubameyang,Olympique de Marseille,FL1,2025,,10,5,33,36.120465434633815,5952876.5
Issa Soumaré,Le Havre AC,FL1,2025,,8,5,34,24.80766598220397,5849150.5
Fabio Vieira,Hamburger SV,BL1,2025,,7,5,29,25.17180013689254,5837242.0
Vincenzo Grifo,SC Freiburg,BL1,2025,,7,4,34,32.31759069130732,5723286.0
Caleb Ekuban,Genoa CFC,SA,2025,,4,1,32,31.359342915811087,5714352.5
Kevin De Bruyne,SSC Napoli,SA,2025,,5,2,18,34.09445585215606,5709629.5
Odsonne Edouard,Racing Club de Lens,FL1,2025,,12,3,29,27.540041067761805,5653156.0
Lassana Coulibaly,US Lecce,SA,2025,,3,1,34,29.308692676249144,5618794.5
Arda Guler,Real Madrid CF,PD,2025,,4,9,32,20.42984257357974,5587311.0
Hákon Haraldsson,Lille OSC,FL1,2025,,8,1,32,22.310746064339494,5555203.5
Rémy Labeau Lascary,Stade Brestois 29,FL1,2025,,5,1,26,22.414784394250514,5525029.5
Walid Cheddira,US Lecce,SA,2025,,4,1,38,27.523613963039015,5394212.5
Javier Guerra,Valencia CF,PD,2025,,4,6,38,22.220396988364133,5367676.5
Sambou Soumano,FC Lorient,FL1,2025,,4,1,33,24.57494866529774,5255174.0
Raúl,CA Osasuna,PD,2025,,7,1,37,24.7419575633128,5206769.5
Mostafa Mohamed,FC Nantes,FL1,2025,,4,0,32,27.67419575633128,5205572.5
Romulo Cruz,RB Leipzig,BL1,2025,,9,3,30,23.477070499657767,5200110.0
Haris Tabaković,Borussia Mönchengladbach,BL1,2025,,13,1,32,31.11567419575633,5190314.5
Ahmadou Bamba Dieng,FC Lorient,FL1,2025,,10,2,27,25.357973990417523,5152050.5
Roberto Navarro,Athletic Club,PD,2025,,6,1,34,23.304585900068446,5112078.5
Rafael Mir,Elche CF,PD,2025,,8,0,30,28.12046543463381,5074502.5
Francesco Esposito,FC Internazionale Milano,SA,2025,,7,4,36,20.093086926762492,5060265.5
Ruben Vargas,Sevilla FC,PD,2025,,3,6,23,26.989733059548254,5028097.5
Hugo Alvarez,RC Celta de Vigo,PD,2025,,4,2,34,22.083504449007528,4999862.0
Callum Wilson,West Ham United FC,PL,2025,,7,1,37,33.426420260095824,4996897.0
Fodé Doucouré,Le Havre AC,FL1,2025,,3,1,31,24.490075290896645,4995672.5
Pierre Emile Højbjerg,Olympique de Marseille,FL1,2025,,4,5,32,29.99041752224504,4987969.5
Chris Wood,Nottingham Forest FC,PL,2025,,3,0,15,33.65092402464066,4955628.0
Mohammed Amoura,VfL Wolfsburg,BL1,2025,,8,3,30,25.229295003422312,4940537.5
Che Adams,Torino FC,SA,2025,,7,2,35,29.05133470225873,4937814.5
Gerard Moreno,Villarreal CF,PD,2025,,10,0,23,33.31690622861054,4913599.0
Ethan Mbappé,Lille OSC,FL1,2025,,3,1,18,18.590006844626966,4857878.0
Albert Guðmundsson,ACF Fiorentina,SA,2025,,5,4,35,28.128678986995208,4836788.5
Rassoul N'Diaye,Le Havre AC,FL1,2025,,4,4,33,23.638603696098563,4801103.0
Federico Bernardeschi,Bologna FC 1909,SA,2025,,4,2,31,31.45516769336071,4795383.5
Pavel Šulc,Olympique Lyonnais,FL1,2025,,10,3,28,24.588637919233403,4787382.0
Ante Budimir,CA Osasuna,PD,2025,,17,0,37,34.02874743326489,4756028.5
Amine Sbaï,Angers SCO,FL1,2025,,3,1,26,24.736481861738536,4736863.0
Alexis Claude Maurice,FC Augsburg,BL1,2025,,5,4,30,27.15400410677618,4663522.5
Aleksandar Pavlović,FC Bayern München,BL1,2025,,3,1,32,21.245722108145106,4658402.0
Ismael Kone,US Sassuolo Calcio,SA,2025,,6,0,36,23.15400410677618,4620955.5
Khéphren Thuram-Ulie,Juventus FC,SA,2025,,3,3,36,24.35044490075291,4582708.5
Maximo Perrone,Como 1907,SA,2025,,3,4,37,22.56536618754278,4565639.0
Mamadou Sangare,Racing Club de Lens,FL1,2025,,3,4,29,23.09924709103354,4397940.0
Assan Ouédraogo,RB Leipzig,BL1,2025,,4,3,19,19.23066392881588,4392001.0
Stefano Moreo,AC Pisa 1909,SA,2025,,7,1,38,32.087611225188226,4203738.0
Ronald Araújo,FC Barcelona,PD,2025,,3,0,32,26.403832991101986,4176708.25
Jean Bahoya,Eintracht Frankfurt,BL1,2025,,3,4,29,20.23545516769336,4164732.0
Georgiy Tsitaishvili,FC Metz,FL1,2025,,3,2,33,24.700889801505816,4160051.75
Alberto Reina,Real Oviedo,PD,2025,,4,1,37,27.89322381930185,4153760.5
Budu Zivzivadze,1. FC Heidenheim 1846,BL1,2025,,6,0,20,31.394934976043807,4135523.0
Djibril Sidibé,Toulouse FC,FL1,2025,,3,4,34,33.007529089664615,4126029.0
Paul Nebel,1. FSV Mainz 05,BL1,2025,,5,2,30,22.809034907597535,4124372.75
Jeong Wooyeong,1. FC Union Berlin,BL1,2025,,4,1,30,25.864476386036962,4107490.25
Aron Dönnum,Toulouse FC,FL1,2025,,4,3,28,27.28268309377139,4098056.75
Danny Welbeck,Brighton & Hove Albion FC,PL,2025,,13,1,37,34.680355920602324,4092846.5
Rani Khedira,1. FC Union Berlin,BL1,2025,,5,1,32,31.509924709103355,4034110.5
Nicolás González,Club Atlético de Madrid,PD,2025,,5,0,24,27.32101300479124,3814544.75
Luka Vušković,Hamburger SV,BL1,2025,,6,0,29,18.43394934976044,3803552.5
Kieron Bowie,Hellas Verona FC,SA,2025,,4,0,14,22.861054072553046,3802348.5
Nikola Štulić,US Lecce,SA,2025,,4,0,37,23.89596167008898,3802301.25
Daniel Namaso,AJ Auxerre,FL1,2025,,3,3,30,24.92539356605065,3795664.0
André Zambo Anguissa,SSC Napoli,SA,2025,,4,1,22,29.70841889117043,3785119.75
Kevin Danois,AJ Auxerre,FL1,2025,,3,1,34,21.09240246406571,3766370.25
Prosper Peter,Angers SCO,FL1,2025,,5,0,30,17.97946611909651,3701247.75
Marvin Pieringer,1. FC Heidenheim 1846,BL1,2025,,4,1,27,25.82614647501711,3696527.75
Alexandre Alemão,Rayo Vallecano de Madrid,PD,2025,,4,0,31,27.3347022587269,3657206.0
Isaac,Sevilla FC,PD,2025,,4,0,33,25.204654346338124,3656187.5
Abner Vinicius,Olympique Lyonnais,FL1,2025,,3,2,28,25.180013689253936,3642937.5
Casals,Girona FC,PD,2025,,3,1,34,20.580424366872005,3633915.75
Dina Ebimbe,Stade Brestois 29,FL1,2025,,5,0,28,24.692676249144423,3619489.5
Alexis Sánchez,Sevilla FC,PD,2025,,4,2,30,36.616016427104725,3595006.25
Adri Liso,Getafe CF,PD,2025,,3,0,34,20.331279945242983,3579904.75
Desire Doue,Paris Saint-Germain FC,FL1,2025,,7,4,25,20.161533196440793,3467371.0
Henrikh Mkhitaryan,FC Internazionale Milano,SA,2025,,4,1,33,36.525667351129364,3447268.25
Martin Satriano,Getafe CF,PD,2025,,6,1,18,24.4435318275154,3409993.0
Carlos Vicente,Deportivo Alavés,PD,2025,,5,0,21,26.275154004106778,3399300.75
Pere Milla,RCD Espanyol de Barcelona,PD,2025,,7,1,34,32.85420944558521,3388089.75
Habib Diallo,FC Metz,FL1,2025,,4,1,26,30.12183436002738,3353574.0
Mohamed Cho,OGC Nice,FL1,2025,,4,3,24,21.533196440793976,3341853.75
Piotr Zieliński,FC Internazionale Milano,SA,2025,,6,3,38,31.200547570157426,3313204.75
Catena,CA Osasuna,PD,2025,,3,2,35,30.759753593429156,3248932.5
Jae-sung Lee,1. FSV Mainz 05,BL1,2025,,4,2,28,32.97467488021903,3241266.75
Isi Palazón,Rayo Vallecano de Madrid,PD,2025,,3,2,31,30.595482546201232,3168297.25
Ruslan Malinovskiy,Genoa CFC,SA,2025,,6,3,35,32.24366872005476,3164912.0
Marius Bülter,1. FC Köln,BL1,2025,,5,4,32,32.342231348391515,3120584.75
Cédric Bakambu,Real Betis Balompié,PD,2025,,3,1,31,34.30800821355236,3118246.5
Andreas Hountondji,FC St. Pauli 1910,BL1,2025,,4,0,21,23.058179329226558,3029831.5
Olivier Giroud,Lille OSC,FL1,2025,,7,1,31,38.836413415468854,3018074.0
Iago Aspas,RC Celta de Vigo,PD,2025,,5,3,37,38.001368925393564,3009623.75
Semih Kilicsoy,Cagliari Calcio,SA,2025,,4,0,37,19.96167008898015,3004017.75
Pierre Ganiou,Racing Club de Lens,FL1,2025,,3,0,31,20.383299110198493,2975959.5
Marc-Oliver Kempf,Como 1907,SA,2025,,4,1,38,30.507871321013006,2717584.0
Stefan Schimmer,1. FC Heidenheim 1846,BL1,2025,,5,1,31,31.260780287474333,2631939.0
Fabien Centonze,FC Nantes,FL1,2025,,3,0,17,29.541409993155373,2600105.25
Pedro,SS Lazio,SA,2025,,5,2,35,38.012320328542096,2561454.75
Joao Neves,Paris Saint-Germain FC,FL1,2025,,5,1,23,20.843258042436688,2542702.0
Orri Oskarsson,Real Sociedad de Fútbol,PD,2025,,9,0,21,20.922655715263517,2531405.25
Emanuel Emegha,RC Strasbourg Alsace,FL1,2025,,4,2,10,22.491444216290212,2457592.25
Luca Koleosho,Paris FC,FL1,2025,,3,1,17,20.876112251882272,2355147.5
Christian Kabasele,Udinese Calcio,SA,2025,,3,0,37,34.43394934976044,2283455.75
Ibrahim M'Baye,Paris Saint-Germain FC,FL1,2025,,3,2,30,17.519507186858316,2218158.5
Álvaro García,Rayo Vallecano de Madrid,PD,2025,,4,5,32,32.761122518822724,2176301.25
Hamza Igamane,Lille OSC,FL1,2025,,5,1,13,22.746064339493497,2132594.25
Robinio Vaz,Olympique de Marseille,FL1,2025,,4,2,16,18.45311430527036,1866526.75
Andrej Kramarić,TSG 1899 Hoffenheim,BL1,2025,,14,6,34,34.119096509240244,1853344.125
Cristhian Stuani,Girona FC,PD,2025,,5,0,26,38.80355920602327,1845690.875
Sepe Elye Wahi,OGC Nice,FL1,2025,,5,1,14,22.579055441478438,1841058.625
Kike García,RCD Espanyol de Barcelona,PD,2025,,8,1,37,35.68240930869268,1835322.625
Leandro Cabrera,RCD Espanyol de Barcelona,PD,2025,,3,0,36,34.12457221081451,1729207.625
Sidiki Cherif,Angers SCO,FL1,2025,,4,0,19,18.628336755646817,1675553.25
Mohamed Meïté,Stade Rennais FC 1901,FL1,2025,,3,1,19,17.806981519507186,1425503.5
Jamie Vardy,US Cremonese,SA,2025,,7,2,30,38.554414784394254,1395136.125
Youssef El-Arabi,FC Nantes,FL1,2025,,3,0,34,38.49144421629021,547068.875
