player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Igor Matanovic,SC Freiburg,BL1,2025,,11,2,32,22.338124572210816,26271564.0
Martin Terrier,Bayer 04 Leverkusen,BL1,2025,,4,1,21,28.410677618069816,26270712.0
Lukas Nmecha,Leeds United FC,PL,2025,,6,1,34,26.63107460643395,26184520.0
Antony,Real Betis Balompié,PD,2025,,8,6,32,25.43463381245722,26138112.0
Anastasios Douvikas,Como 1907,SA,2025,,14,1,38,25.998631074606433,25977824.0
Ansgar Knauff,Eintracht Frankfurt,BL1,2025,,4,1,28,23.5564681724846,25827436.0
Chemsdine Talbi,Sunderland AFC,PL,2025,,4,1,31,20.229979466119097,25726252.0
Ermedin Demirovic,VfB Stuttgart,BL1,2025,,12,3,25,27.353867214236825,25392752.0
Bilal El Khannouss,VfB Stuttgart,BL1,2025,,4,5,27,20.229979466119097,25235640.0
Emile Smith Rowe,Fulham FC,PL,2025,,3,0,37,25.010266940451746,24466036.0
Emiliano Buendía,Aston Villa FC,PL,2025,,6,2,37,28.59958932238193,24363216.0
Ademola Lookman,Club Atlético de Madrid,PD,2025,,4,0,14,27.78097193702943,24308904.0
David Raum,RB Leipzig,BL1,2025,,3,7,31,27.277207392197127,24194100.0
Tiago Tomás,VfB Stuttgart,BL1,2025,,5,3,27,23.12662559890486,24040228.0
Kiernan Dewsbury Hall,Everton FC,PL,2025,,8,4,31,26.902121834360027,24009208.0
Konstantinos Koulierakis,VfL Wolfsburg,BL1,2025,,4,1,32,21.675564681724847,23838276.0
Fisnik Asllani,TSG 1899 Hoffenheim,BL1,2025,,10,6,34,22.981519507186857,23675512.0
Bremer,Juventus FC,SA,2025,,4,3,27,28.372347707049965,23576644.0
Can Uzun,Eintracht Frankfurt,BL1,2025,,8,4,23,19.720739219712527,23514712.0
Ruben Loftus-Cheek,AC Milan,SA,2025,,3,1,32,29.522245037645447,23158012.0
Giorgio Scalvini,Atalanta BC,SA,2025,,3,1,29,21.639972621492127,23099648.0
João Palhinha,Tottenham Hotspur FC,PL,2025,,5,1,35,30.064339493497606,22962900.0
Adrien Rabiot,AC Milan,SA,2025,,6,4,29,30.32991101984942,22871020.0
Maghnes Akliouche,AS Monaco FC,FL1,2025,,6,6,32,23.430527036276523,22843160.0
Martin Baturina,Como 1907,SA,2025,,6,3,37,22.455852156057496,22833924.0
Daniel Muñoz,Crystal Palace FC,PL,2025,,4,4,29,29.182751540041068,22328688.0
Sebastian Nanasi,RC Strasbourg Alsace,FL1,2025,,7,2,27,23.211498973305954,22290092.0
Anton Stach,Leeds United FC,PL,2025,,5,3,30,26.71047227926078,22158096.0
Jeremy Doku,Manchester City FC,PL,2025,,5,5,31,23.1813826146475,22137692.0
Bazoumana Touré,TSG 1899 Hoffenheim,BL1,2025,,5,9,33,19.416837782340863,22100524.0
Chema Andrés,VfB Stuttgart,BL1,2025,,3,0,34,20.268309377138944,21904416.0
Zian Flemming,Burnley FC,PL,2025,,11,0,32,27.000684462696782,21738888.0
Ansu Fati,AS Monaco FC,FL1,2025,,11,0,26,22.751540041067763,21604672.0
Leandro Trossard,Arsenal FC,PL,2025,,6,6,34,30.65845311430527,21488408.0
Chris Führich,VfB Stuttgart,BL1,2025,,7,7,34,27.55920602327173,21169712.0
Diego López,Valencia CF,PD,2025,,4,1,36,23.21971252566735,21158932.0
Tomáš Souček,West Ham United FC,PL,2025,,5,0,35,30.425735797399042,21086896.0
Pape Gueye,Villarreal CF,PD,2025,,5,2,32,26.518822724161534,20977620.0
Leon Goretzka,FC Bayern München,BL1,2025,,5,3,34,30.483230663928815,20977380.0
Ramy Bensebaini,Borussia Dortmund,BL1,2025,,5,2,25,30.2943189596167,20971780.0
Igor Paixão,Olympique de Marseille,FL1,2025,,6,5,30,25.09240246406571,20923596.0
Julio Enciso,RC Strasbourg Alsace,FL1,2025,,3,6,27,21.522245037645447,20710220.0
Breel Embolo,Stade Rennais FC 1901,FL1,2025,,9,3,31,28.459958932238195,20565836.0
Eli Kroupi,AFC Bournemouth,PL,2025,,13,0,38,19.107460643394933,20520188.0
Lyle Foster,Burnley FC,PL,2025,,3,2,28,24.906228610540726,20439172.0
Félix Correia,Lille OSC,FL1,2025,,4,5,34,24.522929500342233,20406804.0
Moise Kean,ACF Fiorentina,SA,2025,,8,1,27,25.423682409308693,20380508.0
Jurrien Timber,Arsenal FC,PL,2025,,3,6,30,24.123203285420946,20168712.0
Joaquín Panichelli,RC Strasbourg Alsace,FL1,2025,,16,1,27,22.817248459958932,20056004.0
Mickey van de Ven,Tottenham Hotspur FC,PL,2025,,4,2,36,24.28473648186174,20024472.0
Gonçalo Guedes,Real Sociedad de Fútbol,PD,2025,,8,4,32,28.670773442847366,19655672.0
Martial Godo,RC Strasbourg Alsace,FL1,2025,,10,1,29,22.38466803559206,19164348.0
Lorenzo Colombo,Genoa CFC,SA,2025,,7,1,38,23.40041067761807,19124912.0
Nico Williams,Athletic Club,PD,2025,,6,4,25,23.055441478439427,19100596.0
Jurgen Ekkelenkamp,Udinese Calcio,SA,2025,,5,3,35,25.322381930184804,19075984.0
Gustav Isaksen,SS Lazio,SA,2025,,5,1,34,24.28473648186174,18935984.0
Patrick Wimmer,VfL Wolfsburg,BL1,2025,,4,3,25,24.17248459958932,18685056.0
Rodrigo Gomes,Wolverhampton Wanderers FC,PL,2025,,3,0,26,22.069815195071868,18680636.0
Mateo Pellegrino,Parma Calcio 1913,SA,2025,,9,1,37,23.77549623545517,18609368.0
Nikolas Nartey,VfB Stuttgart,BL1,2025,,4,3,32,25.440109514031484,18505980.0
Jaidon Anthony,Burnley FC,PL,2025,,8,2,38,25.66735112936345,18399232.0
Akor Adams,Sevilla FC,PD,2025,,10,3,32,25.505817932922657,18396704.0
Nathaniel Brown,Eintracht Frankfurt,BL1,2025,,4,4,33,22.127310061601644,18394248.0
Romano Schmid,SV Werder Bremen,BL1,2025,,4,8,34,25.51129363449692,18283124.0
Maximilian Mittelstädt,VfB Stuttgart,BL1,2025,,6,3,33,28.372347707049965,17914284.0
Pablo Fornals,Real Betis Balompié,PD,2025,,9,6,38,29.440109514031484,17785588.0
Pablo Torre,RCD Mallorca,PD,2025,,4,4,38,22.32991101984942,17629856.0
