snapshot_date,player_name,team_name,competition,position,age,predicted_value_eur,form_multiplier,contract_modifier,form_score,goals_recent,assists_recent,matches_played_recent,dynamic_value_eur,value_delta_pct
2026-09-12,Thierno Barry,Villarreal CF,PD,,24.553045859000683,42196748.0,0.91,1.0,0.2,1,0,4,38399041.0,-9.0
2026-09-12,Adrien Rabiot,Olympique de Marseille,FL1,,29.3305954825462,41813064.0,0.95,0.95,0.3333,1,1,4,37736290.0,-9.8
2026-09-12,Dan Ndoye,Bologna FC 1909,SA,,23.76728268309377,41620588.0,0.91,1.0,0.2,1,0,4,37874735.0,-9.0
2026-09-12,Jean-Philippe Mateta,Crystal Palace FC,PL,,27.09377138945928,41611700.0,1.0,0.95,0.0,0,0,0,39531115.0,-5.0
2026-09-12,Julian Brandt,Borussia Dortmund,BL1,,28.249144421629023,41554752.0,1.0,0.95,0.0,0,0,0,39477014.0,-5.0
2026-09-12,Marcus Tavernier,AFC Bournemouth,PL,,25.363449691991782,41240808.0,1.03,0.95,0.6,3,0,4,40354131.0,-2.1
2026-09-12,Randal Kolo Muani,Juventus FC,SA,,25.65639972621492,41211872.0,1.0,0.95,0.0,0,0,0,39151278.0,-5.0
2026-09-12,Jeremie Frimpong,Bayer 04 Leverkusen,BL1,,23.64134154688569,41198668.0,1.0,1.0,0.0,0,0,0,41198668.0,0.0
2026-09-12,Amadou Onana,Aston Villa FC,PL,,22.9596167008898,41137576.0,1.0,1.0,0.0,0,0,0,41137576.0,0.0
2026-09-12,Davide Frattesi,FC Internazionale Milano,SA,,24.85968514715948,40611108.0,1.03,1.0,0.6,3,0,4,41829441.0,3.0
2026-09-12,Mason Greenwood,Olympique de Marseille,FL1,,22.833675564681723,40604680.0,1.0,1.0,0.0,0,0,0,40604680.0,0.0
2026-09-12,Serge Gnabry,FC Bayern München,BL1,,29.05133470225873,40407360.0,1.0,0.95,0.0,0,0,0,38386992.0,-5.0
2026-09-12,Fábio Silva,UD Las Palmas,PD,,22.036960985626283,39928072.0,0.97,1.0,0.4,2,0,3,38730230.0,-3.0
2026-09-12,Federico Dimarco,FC Internazionale Milano,SA,,26.72416153319644,39403404.0,1.0,0.95,0.0,0,0,0,37433234.0,-5.0
2026-09-12,Amine Gouiri,Olympique de Marseille,FL1,,24.45722108145106,39279216.0,1.09,1.0,0.8,4,0,4,42814345.0,9.0
2026-09-12,Iliman Ndiaye,Everton FC,PL,,24.40520191649555,38878432.0,1.0,1.0,0.0,0,0,0,38878432.0,0.0
2026-09-12,Dilane Bakwa,RC Strasbourg Alsace,FL1,,21.932922655715263,38836116.0,0.91,1.0,0.2,1,0,2,35340866.0,-9.0
2026-09-12,Nikola Krstović,US Lecce,SA,,24.32306639288159,38366168.0,0.91,1.0,0.2,1,0,3,34913213.0,-9.0
2026-09-12,Khvicha Kvaratskhelia,Paris Saint-Germain FC,FL1,,23.46611909650924,38118532.0,1.0,1.0,0.0,0,0,0,38118532.0,0.0
2026-09-12,Callum Hudson-Odoi,Nottingham Forest FC,PL,,23.731690622861056,38004988.0,1.0,1.0,0.0,0,0,0,38004988.0,0.0
2026-09-12,Kingsley Coman,FC Bayern München,BL1,,28.13415468856948,38000856.0,1.0,0.95,0.0,0,0,0,36100813.0,-5.0
2026-09-12,Denzel Dumfries,FC Internazionale Milano,SA,,28.28747433264887,37335792.0,1.0,0.95,0.0,0,0,0,35469002.0,-5.0
2026-09-12,Jonathan Burkardt,1. FSV Mainz 05,BL1,,24.057494866529773,36718692.0,1.01,1.0,0.5333,2,1,3,37085879.0,1.0
2026-09-12,Arnaud Kalimuendo,Stade Rennais FC 1901,FL1,,22.529774127310063,36581888.0,1.0,1.0,0.0,0,0,0,36581888.0,0.0
